isin,list,last_date,cur,price_change,price_bid,price_ask,price_avg,price_open,price_close,price_high,price_low,yield_change,yield_bid,yield_ask,yield_avg,yield_open,yield_close,yield_high,yield_low,vol,snapshot_date,market
AMARLVB21ER3,ABOND,2026-07-30,AMD,-,101.0217,101.8321,101.8321,101.8321,101.8321,101.8321,101.8321,-,11.2874,10.7500,10.7500,10.7500,10.7500,10.7500,10.7500,19,2026-07-31,corporate_bonds
AMASGRB21ER9,BBOND,2026-07-30,AMD,-,103.0739,105.1048,-,-,-,-,-,-,11.1699,10.6400,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMASGRB22ER7,BBOND,2026-07-30,USD,-,99.4305,100.8191,-,-,-,-,-,-,7.1386,6.8000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMASGRB23KT8,ABOND,2026-07-30,AMD,-,104.5083,107.4893,107.4893,107.4893,107.4893,107.4893,107.4893,-,11.3903,10.8500,10.8500,10.8500,10.8500,10.8500,10.8500,148,2026-07-31,corporate_bonds
AMASGRB24KT6,ABOND,2026-07-30,USD,-,101.5738,103.7058,-,-,-,-,-,-,7.2415,6.9000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMCOVSB2JER8,ABOND,2026-07-30,USD,-,99.6345,99.8052,-,-,-,-,-,-,5.2660,5.0200,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMCOVSB2KER6,ABOND,2026-07-30,AMD,-,100.284,100.3848,-,-,-,-,-,-,8.5002,8.1001,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMCOVSB2LER4,ABOND,2026-07-30,USD,-,99.4758,99.7524,-,-,-,-,-,-,4.9300,4.7000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMCOVSB2MER2,ABOND,2026-07-30,USD,-,100.8088,101.1542,-,-,-,-,-,-,4.5000,4.2900,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMCOVSB2NER0,ABOND,2026-07-30,AMD,-,102.658,102.9165,-,-,-,-,-,-,6.8500,6.5305,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMCOVSB2OER8,ABOND,2026-07-30,AMD,-,102.4729,102.9196,-,-,-,-,-,-,7.6990,7.3400,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMCOVSB2PER5,ABOND,2026-07-30,USD,-,99.6927,100.4426,-,-,-,-,-,-,5.3500,5.1000,-,-,-,-,-,0,2026-07-31,corporate_bonds
